x (L/E),P_ee,P_ee_err_min,P_ee_err_max,P_ee_err
23.26184796457563,0.5881410216295909,0.5283761661480975,0.649788234764042,0.1214120686159445
28.602149191862807,0.6393094851301254,0.5856616662369613,0.6957795889351412,0.1101179226981799
30.937424123714955,0.6877251257199641,0.6298420021076396,0.7489011236573807,0.1190591215497411
32.78005702141933,0.8669758872988418,0.7959168858995891,0.9356819416318939,0.1397650557323048
34.497508128931486,0.7229354766845473,0.6627000317898166,0.7836415109925181,0.1209414792027015
36.19823829346256,0.7360719300924407,0.6739541275447497,0.7972485538136516,0.1232944262689019
38.02868092285588,0.5299112137952785,0.48096991481830964,0.5779113339457673,0.09694141912745766
39.935118736217106,0.60939576819967,0.5571603433300206,0.6606900142428391,0.1035296709128185
42.012245337284945,0.5844057181619977,0.5396990981203954,0.6291117124198061,0.0894126142994107
44.49762077001444,0.47187665050475724,0.4323471397925903,0.5109355718036842,0.0785884320110939
47.31192068065252,0.5174574905068597,0.4765162115549719,0.5579281800455071,0.0814119684905352
50.47405625545996,0.29338308731686424,0.25950127534737244,0.33244263439958577,0.07294135905221333
53.85434006092631,0.5187153159332063,0.4688328381297573,0.567186025496935,0.0983531873671777
57.39003101384484,0.5332203584990198,0.47063134075429447,0.5925139987834761,0.12188265802918163
61.08444576832483,0.5557216663871498,0.48419207557465704,0.6277218466128833,0.14352977103822626
65.1472469267758,0.6153907769481273,0.535390576697313,0.6968027454386618,0.1614121687413488
69.88025001314145,0.625161765110801,0.5310432566789902,0.715514306669103,0.1844710499901128
75.9983379182426,0.6151354571600928,0.4993698357192381,0.7332527740995596,0.2338829383803215
83.70186158163098,0.7020130213091895,0.49071774898059783,0.908130558524552,0.4174128095439542
96.91304609022801,0.26687864049722254,0.0033485690827808057,0.6678208205777747,0.6644722514949939
